apelido,atleta_id,id_clubes,jogos_num,media_num,nome_atleta,pontos_num,posicao_id,preco_num,rodada_id,status_id,variacao_num,A,CA,CV,DD,FC,FD,FF,FS,FT,G,GC,GS,I,PE,RB,SG,nome_clube,abreviacao_clube,aproveitamento_mandante,aproveitamento_visitante,clube_casa_id,clube_visitante_id,nome_status,nome_posicao,abreviacao_posicao
Diego,0,262,1,"0,8",Diego Ribas da Cunha,"0,8",4,"10,89",1,7,"-4,11",,"1,0",,,"3,0",,"1,0","8,0",,,,,"1,0","5,0","1,0",,Flamengo,FLA,"['', '', '', '', 'e']","['', '', '', '', 'v']",262,327,Provável,Meia,mei
Henrique Dourado,118,262,1,"0,5",José Henrique da Silva Dourado,"0,5",5,"15,5",1,7,"-6,5",,,,,"1,0",,,"2,0",,,,,,,,,Flamengo,FLA,"['', '', '', '', 'e']","['', '', '', '', 'v']",262,327,Provável,Atacante,ata
Berrío ,125,262,0,"0,0",Orlando Enrique Berrío Meléndez,"0,0",5,"5,0",1,5,"0,0",,,,,,,,,,,,,,,,,Flamengo,FLA,"['', '', '', '', 'e']","['', '', '', '', 'v']",262,327,Contundido,Atacante,ata
Lucas Paquetá,162,262,1,"12,1",Lucas Tolentino Coelho de Lima,"12,1",4,"17,98",1,7,"3,98",,,,,"1,0","1,0",,"5,0",,"1,0",,,,"2,0","1,0",,Flamengo,FLA,"['', '', '', '', 'e']","['', '', '', '', 'v']",262,327,Provável,Meia,mei
Felipe Vizeu,168,262,0,"0,0",Felipe dos Reis Pereira Vizeu do Carmo,"0,0",5,"6,0",1,3,"0,0",,,,,,,,,,,,,,,,,Flamengo,FLA,"['', '', '', '', 'e']","['', '', '', '', 'v']",262,327,Suspenso,Atacante,ata
Vinicius Junior,170,262,1,"6,4",Vinicius José Paixão de Oliveira Junior,"6,4",5,"11,3",1,7,"1,3","1,0",,,,"1,0","1,0","2,0","3,0",,,,,,"8,0",,,Flamengo,FLA,"['', '', '', '', 'e']","['', '', '', '', 'v']",262,327,Provável,Atacante,ata
Maurício Barbieri,685,262,1,"3,79",Maurício Nogueira Barbieri,"3,79",6,"9,5",1,7,"-0,5",,,,,,,,,,,,,,,,,Flamengo,FLA,"['', '', '', '', 'e']","['', '', '', '', 'v']",262,327,Provável,Técnico,tec
Éverton Ribeiro,727,262,1,"-5,8",Éverton Augusto de Barros Ribeiro,"-5,8",4,"2,89",1,3,"-7,11",,,"1,0",,"1,0",,,,,,,,,"1,0",,,Flamengo,FLA,"['', '', '', '', 'e']","['', '', '', '', 'v']",262,327,Suspenso,Meia,mei
Réver,729,262,1,"10,1",Réver Humberto Alves Araújo,"10,1",3,"16,6",1,7,"2,6",,,,,,"1,0",,"3,0",,"1,0",,,,"2,0",,,Flamengo,FLA,"['', '', '', '', 'e']","['', '', '', '', 'v']",262,327,Provável,Zagueiro,zag
Cuéllar,732,262,1,"5,2",Gustavo Leonardo Cuellar Gallego,"5,2",4,"9,09",1,7,"1,09",,,,,"1,0",,,,,,,,,"1,0","4,0",,Flamengo,FLA,"['', '', '', '', 'e']","['', '', '', '', 'v']",262,327,Provável,Meia,mei
