apelido,atleta_id,clube_id,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,status_id,variacao_num,A,CA,CV,DD,FC,FD,FF,FS,FT,G,GC,GS,I,PE,RB,SG
Diego,0,262,1,0.8,Diego Ribas da Cunha,0.8,4,10.89,1,7,-4.11,,1.0,,,3.0,,1.0,8.0,,,,,1.0,5.0,1.0,
Douglas Friedrich,1,265,1,-0.8,Douglas Alan Schuck Friedrich,-0.8,1,2.89,1,7,-2.11,,,,1.0,,,,1.0,,,,2.0,,1.0,,
Douglas Grolli,2,265,1,0.2,Douglas Ricardo Grolli,0.2,3,2.89,1,7,-1.11,,,,,2.0,,,,,,,,,1.0,1.0,
Rodolfo,3,266,0,0.0,Rodolfo Alves de Melo,0.0,1,3.0,1,6,0.0,,,,,,,,,,,,,,,,
Lucas Fonseca,4,265,0,0.0,Lucas Fonseca da Silva,0.0,3,7.0,1,5,0.0,,,,,,,,,,,,,,,,
Mena,5,265,0,0.0,Eugenio Esteban Mena Reveco,0.0,2,10.0,1,6,0.0,,,,,,,,,,,,,,,,
Bruno,6,315,0,0.0,Bruno Bortolini Jackel,0.0,2,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Tiago ,7,265,1,1.4,Tiago Pagnussat,1.4,3,6.48,1,7,-1.52,,,,,3.0,1.0,,1.0,,,,,,1.0,1.0,
Élber,8,265,0,0.0,José Élber Pimentel da Silva,0.0,4,5.0,1,6,0.0,,,,,,,,,,,,,,,,
Vinícius,9,265,1,-0.4,Vinícius Goes Barbosa de Souza,-0.4,4,7.3,1,7,-3.7,,,,,,,,1.0,,,,,,3.0,,
Kendy,10,315,0,0.0,Kendy Tateishi Berbel,0.0,5,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Zé Rafael ,11,265,1,6.7,José Rafael Vivian,6.7,4,17.02,1,7,-0.98,,,,,,1.0,1.0,4.0,,,,,,1.0,2.0,
Everson,12,265,0,0.0,Everson Bispo Pereira,0.0,3,3.0,1,6,0.0,,,,,,,,,,,,,,,,
Rodrigo Becão,13,265,0,0.0,Rodrigo Nascimento França ,0.0,3,3.0,1,6,0.0,,,,,,,,,,,,,,,,
Edigar Junio,14,265,1,0.9,Edigar Junio Teixeira Lima ,0.9,5,6.82,1,7,-2.18,,,,,2.0,,,,,,,,1.0,2.0,2.0,
João Pedro ,15,265,0,0.0,João Pedro Maturano dos Santos,0.0,2,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Edson,16,265,0,0.0,Edson Felipe da Cruz,0.0,4,7.0,1,6,0.0,,,,,,,,,,,,,,,,
Luís Fernando,17,265,0,0.0,Luís Fernando Santos da Conceição,0.0,4,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Marco Antônio,18,265,1,1.5,Marco Antônio Rosa Furtado Júnior,1.5,4,1.72,1,7,0.72,,,,,,,,,,,,,,,1.0,
