apelido,pontuacao,posicao_id,clube_id,A,CA,CV,DD,FC,FD,FF,FS,FT,G,GC,GS,I,PE,RB,SG,atleta_id
Rodrygo,8.8,5,277,,,,,,1.0,,1.0,,1.0,,,,3.0,,,100651
Hygor,-0.5,5,292,,,,,1.0,,,1.0,,,,,1.0,,,,100955
Ferreira,3.9,4,292,,,,,,,,,,,,,,2.0,3.0,,100985
Brenner,-0.3,5,285,,1.0,,,,1.0,,1.0,,,,,,,,,101857
Thiago Larghi,4.15,6,282,,,,,,,,,,,,,,,,,101957
Juan,0.5,3,262,,,,,,,,1.0,,,,,,5.0,1.0,,36540
Guto Ferreira,2.48,6,265,,,,,,,,,,,,,,,,,37245
Mano Menezes,2.49,6,283,,,,,,,,,,,,,,,,,37281
Gilson Kleina,1.58,6,315,,,,,,,,,,,,,,,,,37306
Marcelo Chamusca,1.19,6,354,,,,,,,,,,,,,,,,,37319
Rafael Moura,5.1,5,327,1.0,,,,1.0,,1.0,,,,,,1.0,4.0,1.0,,37655
Fábio,1.0,1,283,,,,1.0,,,,,,,,1.0,,,,,37656
Jonathan,6.2,2,293,1.0,,,,,,,,,,,,,1.0,1.0,,37662
Wagner,12.6,4,267,,,,,2.0,2.0,,3.0,,1.0,,,2.0,1.0,2.0,,37674
Cícero,2.3,4,284,,,,,,1.0,,1.0,,,,,,3.0,1.0,,37688
Henrique,6.8,4,283,,,,,,,2.0,2.0,,,,,,1.0,3.0,,37694
Léo Moura,9.2,2,284,,,,,1.0,,,4.0,,,,,,1.0,2.0,1.0,37701
Marcelo Grohe,11.0,1,284,,,,2.0,,,,,,,,,,,,1.0,37770
Rafael Sobis,1.5,5,283,,,,,1.0,,1.0,,,,,,,1.0,1.0,,37798
Roberto,1.2,5,354,,,,,,,,,,,,,,1.0,1.0,,38178
Maicon,0.0,4,284,,,,,1.0,,,1.0,,,,,,,,,38196
Fábio Santos,-2.0,2,282,,1.0,,,1.0,,,1.0,,,,,,5.0,1.0,,38229
Thiago Neves,1.7,4,283,,,,,,2.0,,1.0,,,,,,4.0,,,38277
Wellington Paulista,7.3,5,315,,1.0,,,5.0,,2.0,,,1.0,,,1.0,1.0,2.0,,38279
Márcio Araújo,-1.8,4,315,,1.0,,,2.0,,,,,,,,,1.0,1.0,,38311
