id,nome,abreviacao,escudos,posicao,id_clubes
1,Outros,OUT,"{'60x60': '', '45x45': '', '30x30': ''}",,1
1349,Ipatinga,IPA,"{'60x60': '', '45x45': '', '30x30': ''}",,1349
1390,Icasa,ICA,"{'60x60': '', '45x45': '', '30x30': ''}",,1390
2190,Oeste,OES,"{'60x60': '', '45x45': '', '30x30': ''}",,2190
2193,Duque de Caxias,DUQ,"{'60x60': '', '45x45': '', '30x30': ''}",,2193
2197,Americana,AME,"{'60x60': '', '45x45': '', '30x30': ''}",,2197
2554,Grêmio Prudente,PRU,"{'60x60': '', '45x45': '', '30x30': ''}",,2554
2565,Luverdense,LUV,"{'60x60': '', '45x45': '', '30x30': ''}",,2565
262,Flamengo,FLA,"{'60x60': 'https://s.glbimg.com/es/sde/f/equipes/2014/04/14/flamengo_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/equipes/2013/12/16/flamengo_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/equipes/2013/12/16/flamengo_30x30.png'}",1.0,262
263,Botafogo,BOT,"{'60x60': 'https://s.glbimg.com/es/sde/f/equipes/2014/04/14/botafogo_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/equipes/2013/12/16/botafogo_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/equipes/2013/12/16/botafogo_30x30.png'}",1.0,263
264,Corinthians,COR,"{'60x60': 'https://s.glbimg.com/es/sde/f/equipes/2014/04/14/corinthians_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/equipes/2013/12/16/corinthians_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/equipes/2013/12/16/corinthians_30x30.png'}",1.0,264
265,Bahia,BAH,"{'60x60': 'https://s.glbimg.com/es/sde/f/equipes/2014/04/14/bahia_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/equipes/2013/12/16/bahia_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/equipes/2013/12/16/bahia_30x30.png'}",1.0,265
266,Fluminense,FLU,"{'60x60': 'https://s.glbimg.com/es/sde/f/equipes/2015/07/21/fluminense_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/equipes/2015/07/21/fluminense_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/equipes/2015/07/21/Fluminense-escudo.png'}",1.0,266
267,Vasco,VAS,"{'60x60': 'https://s.glbimg.com/es/sde/f/equipes/2016/07/29/Vasco-65.png', '45x45': 'https://s.glbimg.com/es/sde/f/equipes/2016/07/29/Vasco-45.png', '30x30': 'https://s.glbimg.com/es/sde/f/equipes/2016/07/29/Vasco-30.png'}",1.0,267
