Atleta.apelido,Atleta.atleta_id,Atleta.foto,Atleta.nome,Atleta.preco_editorial,clube,escalacoes,escudo_clube,posicao
Lucas Veríssimo,93368,https://s.glbimg.com/es/sde/f/2017/05/02/0198bbb1258bc8a618b6ef67781a60a6_FORMATO.png,Lucas Veríssimo da Silva,5,SAN,2756463,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/santos_60x60.png,Zagueiro
Otero,83004,https://s.glbimg.com/es/sde/f/2017/04/03/9fe40eece7847c6e2d8feca1248f43a9_FORMATO.png,Rómulo Otero Vásquez,5,ATL,2226892,https://s.glbimg.com/es/sde/f/equipes/2017/11/23/Atletico-Mineiro-escudo65px.png,Meia
Ricardo Oliveira,38910,https://s.glbimg.com/es/sde/f/2018/03/20/08e587e5b70fbd4605dddaf9aaae5281_FORMATO.png,Ricardo de Oliveira,5,ATL,2055832,https://s.glbimg.com/es/sde/f/equipes/2017/11/23/Atletico-Mineiro-escudo65px.png,Atacante
Eduardo Sasha,70360,https://s.glbimg.com/es/sde/f/2018/03/21/dabe2b4a217de06ee78763efe55de2f0_FORMATO.png,Eduardo Colcenti Antunes,10,SAN,1292949,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/santos_60x60.png,Atacante
Thiago Carleto,51700,https://s.glbimg.com/es/sde/f/2018/03/01/c5b5d602b0e56ba728e728a7256ce180_FORMATO.png,Thiago Carleto Alves,5,ATL,1303414,https://s.glbimg.com/es/sde/f/equipes/2015/06/24/atletico-pr_2015_65.png,Lateral
Mateus Vital,93108,https://s.glbimg.com/es/sde/f/2018/03/20/737d7c44d8457c420b7d44f962dc43a2_FORMATO.png,Mateus da Silva Vital Assumpção,5,COR,1051760,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/corinthians_60x60.png,Meia
Sidcley,86764,https://s.glbimg.com/es/sde/f/2018/03/23/9db2d3b03abd4966fab935ec9672a2f8_FORMATO.png,Sidcley Ferreira Pereira,8,COR,1001475,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/corinthians_60x60.png,Lateral
Sidão,70222,https://s.glbimg.com/es/sde/f/2017/04/25/6b33818b6514572559c1fef9b6ca9686_FORMATO.png,Sidney Aparecido Ramos da Silva,10,SAO,947802,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/sao_paulo_60x60.png,Goleiro
Liziero,100761,https://s.glbimg.com/es/sde/f/2018/04/13/1b255504597949eb8f15acc1bc6f2707_FORMATO.png,Igor Matheus Liziero Pereira ,3,SAO,951287,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/sao_paulo_60x60.png,Lateral
Diego Aguirre,73766,https://s.glbimg.com/es/sde/f/2018/03/26/187f8c6b563aca4a07634274588e2e6a_FORMATO.png,Diego Vicente Aguirre Camblor,8,SAO,837028,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/sao_paulo_60x60.png,Técnico
Gabriel,83257,https://s.glbimg.com/es/sde/f/2016/05/01/1483ff1b3cb82fa23bc8625656564b18_FORMATO.png,Gabriel Barbosa Almeida,16,SAN,891725,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/santos_60x60.png,Atacante
Yago Pikachu,80196,https://s.glbimg.com/es/sde/f/2018/04/09/abd9b0f5946442941bcc7ff393a5eee9_FORMATO.png,Glaybson Yago Souza Lisboa,8,VAS,785765,https://s.glbimg.com/es/sde/f/equipes/2016/07/29/Vasco-65.png,Lateral
Alison,73974,https://s.glbimg.com/es/sde/f/2016/05/01/5cbe20aa51d06aff64b21ed5d19bf070_FORMATO.png,Alison Lopes Ferreira,8,SAN,775461,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/santos_60x60.png,Meia
Dedé,60819,https://s.glbimg.com/es/sde/f/2017/04/05/526dd85f05139f739aca91b753b00ec9_FORMATO.png,Anderson Vital da Silva,6,CRU,773446,https://s.glbimg.com/es/sde/f/equipes/2015/04/29/cruzeiro_65.png,Zagueiro
Rodrygo,100651,https://s.glbimg.com/es/sde/f/2017/11/01/b8128d3d5db5325dc238cadc67c28342_FORMATO.png,Rodrygo Silva de Goes,8,SAN,791234,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/santos_60x60.png,Atacante
Felipe Melo,38545,https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png,Felipe Melo de Carvalho,7,PAL,563763,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/palmeiras_60x60.png,Meia
Douglas Friedrich,78584,https://s.glbimg.com/es/sde/f/2018/03/21/15b72082b742339f200d4b222e477ffd_FORMATO.png,Douglas Alan Schuck Friedrich,5,BAH,651743,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/bahia_60x60.png,Goleiro
Arboleda,91573,https://s.glbimg.com/es/sde/f/2018/03/11/850c8b93c9700970ec1d30ac9c8107da_FORMATO.png,Robert Abel Arboleda Escobar,11,SAO,666765,https://s.glbimg.com/es/sde/f/equipes/2014/04/14/sao_paulo_60x60.png,Zagueiro
Odair Hellmann,92273,https://s.glbimg.com/es/sde/f/2018/03/20/e106ae4a3a04464c776be27a72b98b9e_FORMATO.png,Odair Hellmann,5,INT,652699,https://s.glbimg.com/es/sde/f/equipes/2016/05/03/inter65.png,Técnico
Enderson Moreira,62137,https://s.glbimg.com/es/sde/f/2018/03/17/4a6e561bbf1123eb516161678dea131e_FORMATO.png,Enderson Alves Moreira,3,AME,683612,https://s.glbimg.com/es/sde/f/organizacoes/2018/01/24/AmericaMG-65.png,Técnico
