aproveitamento_mandante,aproveitamento_visitante,clube_casa_id,clube_casa_posicao,clube_visitante_id,clube_visitante_posicao,local,partida_data,partida_id,placar_oficial_mandante,placar_oficial_visitante,url_confronto,url_transmissao,valida
"['', '', '', '', '']","['', '', '', '', '']",283,1,284,1,Mineirão,2018-04-14 16:00:00,221169,,,,,True
"['', '', '', '', '']","['', '', '', '', '']",293,1,315,1,Arena da Baixada,2018-04-15 19:00:00,221170,,,,,True
"['', '', '', '', '']","['', '', '', '', '']",327,1,292,1,Independência,2018-04-15 11:00:00,221171,,,,,True
"['', '', '', '', '']","['', '', '', '', '']",287,1,262,1,Barradão,2018-04-14 19:00:00,221172,,,,,True
"['', '', '', '', '']","['', '', '', '', '']",267,1,282,1,São Januário,2018-04-15 16:00:00,221173,,,,,True
"['', '', '', '', '']","['', '', '', '', '']",263,1,275,1,Engenhão,2018-04-16 20:00:00,221174,,,,,True
"['', '', '', '', '']","['', '', '', '', '']",276,1,289,1,Morumbi,2018-04-16 20:00:00,221175,,,,,True
"['', '', '', '', '']","['', '', '', '', '']",277,1,354,1,Pacaembu,2018-04-14 21:00:00,221176,,,,,True
"['', '', '', '', '']","['', '', '', '', '']",264,1,266,1,Arena Corinthians,2018-04-15 16:00:00,221177,,,,,True
"['', '', '', '', '']","['', '', '', '', '']",285,1,265,1,Beira-Rio,2018-04-15 16:00:00,221178,,,,,True
